Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8330,7629,701,15558,660,7119,67,0.915846,0.921792,0.457578,0.918809,,,2.45313174946,3.38483796296
INDEL,PASS,8330,7546,784,13362,394,5270,19,0.905882,0.95131,0.394402,0.928041,,,2.45313174946,2.8335774978
SNP,ALL,48280,46307,1973,61268,361,14569,178,0.959134,0.99227,0.237791,0.975421,2.32738423374,2.07352056169,2.04703282828,2.4488060374
SNP,PASS,48280,45552,2728,52774,145,7052,38,0.943496,0.996829,0.133626,0.96943,2.32738423374,2.23689213221,2.04703282828,2.20225810368
