Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8330,7655,675,15820,691,7319,64,0.918968,0.918715,0.462642,0.918841,,,2.45313174946,3.41324921136
INDEL,PASS,8330,7547,783,13324,397,5221,25,0.906002,0.951006,0.391849,0.927959,,,2.45313174946,2.79436537903
SNP,ALL,48280,46396,1884,61177,342,14416,167,0.960978,0.992686,0.235644,0.976575,2.32738423374,2.08696529459,2.04703282828,2.41251325557
SNP,PASS,48280,45606,2674,52699,152,6921,30,0.944615,0.99668,0.131331,0.969949,2.32738423374,2.2461661637,2.04703282828,2.1935014549
