Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,D16_PLUS,repeat.masker,PASS,*,QUAL,*,0.818182,0.815217,0.559809,0.816697,0,13,22296513.000000,16369452.000000,0.000000,88,.,.,54.000000,27.000000,,2.0,72,.,.,42.000000,24.000000,,1.75,16,.,.,12.000000,3.000000,,4.0,209,.,.,153.000000,56.000000,,2.73214285714,75,.,.,51.000000,24.000000,,2.125,17,.,.,16.000000,1.000000,,16.0,117,.,.,86.000000,31.000000,,2.77419354839
INDEL,D1_5,*,ALL,*,QUAL,*,0.875743,0.550526,0.436536,0.676057,56,718,40298468,32959293.000000,0.000000,3533,.,.,2352.000000,1001.000000,,2.34965034965,3094,.,.,2099.000000,854.000000,,2.45784543326,439,.,.,253.000000,147.000000,,1.72108843537,10116,.,.,8899.000000,1007.000000,,8.83714001986,3138,.,.,2279.000000,852.000000,,2.67488262911,2562,.,.,2500.000000,8.000000,,312.5,4416,.,.,4120.000000,147.000000,,28.0272108844
INDEL,D1_5,*,PASS,*,QUAL,*,0.843476,0.917451,0.329467,0.878909,8,118,40298468,32959293.000000,0.000000,3533,.,.,2352.000000,1001.000000,,2.34965034965,2980,.,.,1999.000000,851.000000,,2.34900117509,553,.,.,353.000000,150.000000,,2.35333333333,4914,.,.,3904.000000,1002.000000,,3.89620758483,3023,.,.,2172.000000,850.000000,,2.55529411765,272,.,.,260.000000,8.000000,,32.5,1619,.,.,1472.000000,144.000000,,10.2222222222
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,0.526316,0.245364,0.556048,0.334695,10,101,3036641434.000000,32959293.000000,0.000000,323,.,.,220.000000,72.000000,,3.05555555556,170,.,.,109.000000,48.000000,,2.27083333333,153,.,.,111.000000,24.000000,,4.625,1579,.,.,1412.000000,91.000000,,15.5164835165,172,.,.,125.000000,47.000000,,2.65957446809,529,.,.,494.000000,6.000000,,82.3333333333,878,.,.,793.000000,38.000000,,20.8684210526
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,0.482972,0.718182,0.594843,0.577548,4,36,3036641434.000000,32959293.000000,0.000000,323,.,.,220.000000,72.000000,,3.05555555556,156,.,.,97.000000,47.000000,,2.06382978723,167,.,.,123.000000,25.000000,,4.92,543,.,.,451.000000,90.000000,,5.01111111111,158,.,.,111.000000,47.000000,,2.36170212766,62,.,.,56.000000,6.000000,,9.33333333333,323,.,.,284.000000,37.000000,,7.67567567568
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.910903,0.593319,0.0,0.718585,46,617,32959293.000000,32959293.000000,0.000000,3210,.,.,2132.000000,929.000000,,2.29494079656,2924,.,.,1990.000000,806.000000,,2.46898263027,286,.,.,142.000000,123.000000,,1.15447154472,4999,.,.,4160.000000,807.000000,,5.15489467162,2966,.,.,2154.000000,805.000000,,2.67577639752,2033,.,.,2006.000000,2.000000,,1003.0,0,.,.,0.000000,0.000000,,
INDEL,D1_5,TS_contained,PASS,*,QUAL,*,0.879751,0.931707,0.0,0.904984,4,82,32959293.000000,32959293.000000,0.000000,3210,.,.,2132.000000,929.000000,,2.29494079656,2824,.,.,1902.000000,804.000000,,2.36567164179,386,.,.,230.000000,125.000000,,1.84,3075,.,.,2265.000000,805.000000,,2.81366459627,2865,.,.,2061.000000,803.000000,,2.56662515567,210,.,.,204.000000,2.000000,,102.0,0,.,.,0.000000,0.000000,,
INDEL,D1_5,coding.exons.acmg.ensembl87,ALL,*,QUAL,*,0.0,,1.0,,0,0,7153.000000,7053.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,D1_5,coding.exons.acmg.ensembl87,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,7153.000000,7053.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D1_5,coding.exons.acmg.ensembl87_NF2,ALL,*,QUAL,*,0.0,,1.0,,0,0,7153.000000,7053.000000,1.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
