Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8946,0,8946,14851,12284,2567,1,0.0,0.0,0.17285,,,1.35899558499,1.8978116844
INDEL,PASS,8946,0,8946,14825,12264,2561,1,0.0,0.0,0.172749,,,1.35899558499,1.89317269076
SNP,ALL,52494,14,52480,66504,44751,21739,11,0.000267,0.000313,0.326883,2.08261405672,0.490457274275,1.59433542583,2.34153830665
SNP,PASS,52494,14,52480,66408,44714,21680,11,0.000267,0.000313,0.326467,2.08261405672,0.490552499402,1.59433542583,2.33737790756
