Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.918968,0.918715,0.462642,0.918841,64,385,40298468,32959293.000000,0.000000,8330,.,.,5679.000000,2315.000000,,2.45313174946,7655,.,.,5161.000000,2211.000000,,2.3342379014,675,.,.,518.000000,104.000000,,4.98076923077,15820,.,.,11902.000000,3487.000000,,3.41324921136,7810,.,.,5522.000000,2199.000000,,2.51114142792,691,.,.,628.000000,47.000000,,13.3617021277,7319,.,.,5752.000000,1241.000000,,4.63497179694
INDEL,*,*,PASS,*,QUAL,*,0.906002,0.951006,0.391849,0.927959,25,277,40298468,32959293.000000,0.000000,8330,.,.,5679.000000,2315.000000,,2.45313174946,7547,.,.,5069.000000,2205.000000,,2.29886621315,783,.,.,610.000000,110.000000,,5.54545454545,13324,.,.,9621.000000,3443.000000,,2.79436537903,7706,.,.,5424.000000,2198.000000,,2.46769790719,397,.,.,345.000000,45.000000,,7.66666666667,5221,.,.,3852.000000,1200.000000,,3.21
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.528822,0.614943,0.700516,0.56864,18,168,3036641434.000000,32959293.000000,0.000000,798,.,.,597.000000,143.000000,,4.17482517483,422,.,.,287.000000,104.000000,,2.75961538462,376,.,.,310.000000,39.000000,,7.94871794872,2324,.,.,1902.000000,339.000000,,5.61061946903,428,.,.,330.000000,93.000000,,3.54838709677,268,.,.,247.000000,14.000000,,17.6428571429,1628,.,.,1325.000000,232.000000,,5.71120689655
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.481203,0.728782,0.687428,0.579664,9,114,3036641434.000000,32959293.000000,0.000000,798,.,.,597.000000,143.000000,,4.17482517483,384,.,.,257.000000,98.000000,,2.62244897959,414,.,.,340.000000,45.000000,,7.55555555556,1734,.,.,1363.000000,327.000000,,4.16819571865,395,.,.,300.000000,92.000000,,3.26086956522,147,.,.,131.000000,14.000000,,9.35714285714,1192,.,.,932.000000,221.000000,,4.21719457014
INDEL,*,TS_contained,ALL,*,QUAL,*,0.960303,0.945804,0.0,0.952998,46,217,32959293.000000,32959293.000000,0.000000,7532,.,.,5082.000000,2172.000000,,2.33977900552,7233,.,.,4874.000000,2107.000000,,2.3132415757,299,.,.,208.000000,65.000000,,3.2,7805,.,.,5573.000000,2139.000000,,2.6054230949,7382,.,.,5192.000000,2106.000000,,2.465337132,423,.,.,381.000000,33.000000,,11.5454545455,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.951009,0.966936,0.0,0.958906,16,163,32959293.000000,32959293.000000,0.000000,7532,.,.,5082.000000,2172.000000,,2.33977900552,7163,.,.,4812.000000,2107.000000,,2.28381585192,369,.,.,270.000000,65.000000,,4.15384615385,7561,.,.,5338.000000,2137.000000,,2.49789424427,7311,.,.,5124.000000,2106.000000,,2.43304843305,250,.,.,214.000000,31.000000,,6.90322580645,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87_NF2,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,1.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,coding.exons.acmg.ensembl87_NF2,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,7153.000000,7053.000000,1.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
