Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8330,7113,1217,21717,4163,10300,188,0.853902,0.635368,0.474283,0.728601,,,2.45313174946,7.20224269123
INDEL,PASS,8330,6876,1454,11582,536,4034,25,0.82545,0.928988,0.348299,0.874164,,,2.45313174946,3.65508786269
SNP,ALL,48280,46452,1828,62738,460,15805,190,0.962138,0.990199,0.251921,0.975966,2.32738423374,2.05238326848,2.04703282828,2.53765867419
SNP,PASS,48280,45699,2581,53576,160,7699,23,0.946541,0.996512,0.143702,0.970884,2.32738423374,2.236590964,2.04703282828,2.27485630427
