Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,8330,7079,1251,22427,4562,10650,193,0.84982,0.612635,0.474874,0.711994,,,2.45313174946,7.50302053967
INDEL,PASS,8330,6793,1537,11189,489,3774,19,0.815486,0.934053,0.337296,0.870752,,,2.45313174946,3.53731958763
SNP,ALL,48280,46457,1823,62552,453,15619,163,0.962241,0.990348,0.249696,0.976092,2.32738423374,2.07272995138,2.04703282828,2.52089434557
SNP,PASS,48280,45692,2588,53453,183,7557,22,0.946396,0.996013,0.141377,0.970571,2.32738423374,2.2425547401,2.04703282828,2.26406450431
