Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,C6_15,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3010702790.000000,33542521.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3010702790.000000,33542521.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,33542521.000000,33542521.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,33542521.000000,33542521.000000,0.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.563025,0.87013,0.433824,0.683673,1,7,38708702,33542521.000000,0.000000,119,.,.,67.000000,38.000000,,1.76315789474,67,.,.,28.000000,30.000000,,0.933333333333,52,.,.,39.000000,8.000000,,4.875,136,.,.,81.000000,55.000000,,1.47272727273,67,.,.,37.000000,30.000000,,1.23333333333,10,.,.,7.000000,3.000000,,2.33333333333,59,.,.,37.000000,22.000000,,1.68181818182
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.445378,0.898305,0.321839,0.595506,1,4,38708702,33542521.000000,0.000000,119,.,.,67.000000,38.000000,,1.76315789474,53,.,.,19.000000,25.000000,,0.76,66,.,.,48.000000,13.000000,,3.69230769231,87,.,.,48.000000,39.000000,,1.23076923077,53,.,.,28.000000,25.000000,,1.12,6,.,.,3.000000,3.000000,,1.0,28,.,.,17.000000,11.000000,,1.54545454545
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.214286,0.375,0.636364,0.272727,1,3,3010702790.000000,33542521.000000,0.000000,14,.,.,9.000000,4.000000,,2.25,3,.,.,1.000000,2.000000,,0.5,11,.,.,8.000000,2.000000,,4.0,22,.,.,13.000000,9.000000,,1.44444444444,3,.,.,1.000000,2.000000,,0.5,5,.,.,4.000000,1.000000,,4.0,14,.,.,8.000000,6.000000,,1.33333333333
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.142857,0.5,0.692308,0.222222,1,1,3010702790.000000,33542521.000000,0.000000,14,.,.,9.000000,4.000000,,2.25,2,.,.,0.000000,2.000000,,0.0,12,.,.,9.000000,2.000000,,4.5,13,.,.,6.000000,7.000000,,0.857142857143,2,.,.,0.000000,2.000000,,0.0,2,.,.,1.000000,1.000000,,1.0,9,.,.,5.000000,4.000000,,1.25
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.609524,0.927536,0.0,0.735632,0,4,33542521.000000,33542521.000000,0.000000,105,.,.,58.000000,34.000000,,1.70588235294,64,.,.,27.000000,28.000000,,0.964285714286,41,.,.,31.000000,6.000000,,5.16666666667,69,.,.,39.000000,30.000000,,1.3,64,.,.,36.000000,28.000000,,1.28571428571,5,.,.,3.000000,2.000000,,1.5,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.485714,0.927273,0.0,0.6375,0,3,33542521.000000,33542521.000000,0.000000,105,.,.,58.000000,34.000000,,1.70588235294,51,.,.,19.000000,23.000000,,0.826086956522,54,.,.,39.000000,11.000000,,3.54545454545,55,.,.,30.000000,25.000000,,1.2,51,.,.,28.000000,23.000000,,1.21739130435,4,.,.,2.000000,2.000000,,1.0,0,.,.,0.000000,0.000000,,
